#,2019-05-24T00:00:00Z,N0000001,EN91fh,41.3219273, -81.5047731, 285,Macedonia Ohio,G1,WWV5
#######################################
# MetaData for Grape Gen 1 Station
#
# Station Node Number      N0000001
# Callsign                 N8OBJ
# Grid Square              EN91fh
# Lat, Long, Elv           41.3219273, -81.5047731, 285
# City State               Macedonia Ohio
# Radio1                   Grape Gen 1 Rcvr 1
# Radio1ID                 G1
# Antenna                  80M OCF Dipole 30' up
# Frequency Standard       LB GPSDO
#
# Beacon Now Decoded       WWV5
#
#######################################
UTC,Freq,Vpk
2019-05-24T00:07:46Z,  4999999.856, 0.024867
2019-05-24T00:07:47Z,  4999999.827, 0.066356
2019-05-24T00:07:48Z,  4999999.781, 0.122649
2019-05-24T00:07:49Z,  4999999.963, 0.147574
2019-05-24T00:07:50Z,  4999999.961, 0.153816
2019-05-24T00:07:51Z,  4999999.866, 0.139510
2019-05-24T00:07:52Z,  4999999.733, 0.121807
2019-05-24T00:07:53Z,  4999999.696, 0.137097
2019-05-24T00:07:54Z,  4999999.647, 0.167554
2019-05-24T00:07:55Z,  4999999.767, 0.183619
2019-05-24T00:07:56Z,  4999999.943, 0.177291
2019-05-24T00:07:57Z,  4999999.966, 0.158190
2019-05-24T00:07:58Z,  5000000.010, 0.129791
2019-05-24T00:07:59Z,  4999999.986, 0.100604
2019-05-24T00:08:00Z,  4999999.971, 0.091970
2019-05-24T00:08:01Z,  4999999.730, 0.092161
2019-05-24T00:08:02Z,  4999999.701, 0.119019
2019-05-24T00:08:03Z,  4999999.715, 0.150618
2019-05-24T00:08:04Z,  4999999.727, 0.190124
2019-05-24T00:08:05Z,  4999999.957, 0.187555
2019-05-24T00:08:06Z,  4999999.983, 0.172781
2019-05-24T00:08:07Z,  4999999.897, 0.180817
2019-05-24T00:08:08Z,  4999999.746, 0.140914
2019-05-24T00:08:09Z,  4999999.620, 0.140320
2019-05-24T00:08:10Z,  4999999.444, 0.131185
2019-05-24T00:08:11Z,  4999999.308, 0.096009
